scene_name,variant,minADE,minFDE,delta_minADE,delta_minFDE,AD,FD,traj_npz
scene-0252,01_car_conf0.93_imagen,0.9280673265457152,3.025434970855713,0.5569883286952972,1.7766458988189695,0.4863427579402923,1.1829081773757937,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/01_car_conf0.93_imagen.npz
scene-0252,02_car_conf0.91_imagen,0.0991896837949752,0.3994271159172058,-0.2718893140554428,-0.8493619561195374,1.349133849143982,5.202220916748047,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/02_car_conf0.91_imagen.npz
scene-0252,03_car_conf0.87_imagen,0.3951485157012939,1.2543278932571411,0.0240695178508758,0.0055388212203979,0.311535894870758,1.0402323007583618,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/03_car_conf0.87_imagen.npz
scene-0252,04_traffic light_conf0.85_imagen,0.2436681985855102,0.532283365726471,-0.1274107992649078,-0.7165057063102722,0.8871105313301086,3.735361337661743,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/04_traffic light_conf0.85_imagen.npz
scene-0252,05_traffic light_conf0.81_imagen,0.2517035007476806,0.927992343902588,-0.1193754971027374,-0.3207967281341553,0.0379982478916645,0.1242344379425048,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/05_traffic light_conf0.81_imagen.npz
scene-0252,06_traffic light_conf0.77_imagen,0.5998272895812988,1.6973681449890137,0.2287482917308807,0.4485790729522705,0.7999322414398193,3.244314670562744,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/06_traffic light_conf0.77_imagen.npz
scene-0252,07_car_conf0.72_imagen,0.1766263842582702,0.2693035006523132,-0.1944526135921478,-0.97948557138443,0.975027084350586,4.065863132476807,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/07_car_conf0.72_imagen.npz
scene-0252,08_person_conf0.70_imagen,0.0829510763287544,0.1015276089310646,-0.2881279215216636,-1.1472614631056786,1.1285874843597412,4.537866592407227,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/08_person_conf0.70_imagen.npz
scene-0252,09_traffic light_conf0.70_imagen,0.4557315707206726,1.2446595430374146,0.0846525728702545,-0.0041295289993286,0.8269127011299133,3.398942232131958,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/09_traffic light_conf0.70_imagen.npz
scene-0252,10_car_conf0.69_imagen,0.5852075815200806,1.6823028326034546,0.2141285836696624,0.4335137605667114,0.2391823232173919,0.7195003032684326,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/10_car_conf0.69_imagen.npz
scene-0252,11_person_conf0.69_imagen,0.1975854039192199,0.4204467236995697,-0.1734935939311981,-0.8283423483371735,1.038262963294983,4.134098052978516,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/11_person_conf0.69_imagen.npz
scene-0252,12_traffic light_conf0.68_imagen,0.6553835868835449,0.9396004676818848,0.2843045890331268,-0.3091886043548584,0.5629781484603882,1.5441880226135254,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/12_traffic light_conf0.68_imagen.npz
scene-0252,13_person_conf0.68_imagen,0.0844979509711265,0.2750425636768341,-0.2865810468792915,-0.9737465083599092,1.1909949779510498,4.667171001434326,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/13_person_conf0.68_imagen.npz
scene-0252,14_traffic light_conf0.65_imagen,0.8462570309638977,0.8301685452461243,0.4751780331134796,-0.4186205267906189,0.3601198196411133,1.1690782308578491,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/14_traffic light_conf0.65_imagen.npz
scene-0252,15_traffic light_conf0.59_imagen,0.4081191718578338,1.0143343210220337,0.0370401740074157,-0.2344547510147094,0.870673656463623,3.639310121536255,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/15_traffic light_conf0.59_imagen.npz
scene-0252,16_car_conf0.52_imagen,0.3356639146804809,0.8303363919258118,-0.0354150831699371,-0.4184526801109314,0.8885641098022461,3.662722587585449,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/16_car_conf0.52_imagen.npz
scene-0252,17_car_conf0.44_imagen,0.1081932485103607,0.1420277953147888,-0.2628857493400574,-1.1067612767219543,1.0372012853622437,4.178318500518799,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/17_car_conf0.44_imagen.npz
scene-0252,18_person_conf0.41_imagen,0.1127156466245651,0.1239285990595817,-0.2583633512258529,-1.1248604729771614,0.9858807921409608,3.967574119567871,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0252/trajectories/18_person_conf0.41_imagen.npz
